id,key,instances,category
0,take,"['collect-from', 'collect-into', 'draw', 'fetch', 'get', 'get-from', 'get-in', 'get-off', 'get-with', 'grab', 'grab-down', 'grab-from', 'grab-up', 'pick', 'pick-from', 'pick-off', 'pick-up', 'pull-off', 'retrieve', 'take', 'take-from', 'take-in', 'take-of', 'take-to', 'take-up', 'unload', 'catch', 'take-into', 'remove-on', 'get-on', 'take-with', 'take-inside', 'take-on', 'take-down', 'handle', 'grip', 'do for', 'move with', 'move into', 'pull at', 'move up', 'pull down', 'pick on', 'collect from', 'grab with', 'do', 'collect in', 'pick off', 'do by', 'collect with', 'move on', 'get into', 'move about', 'get from', 'remove by', 'take down', 'get off', 'move off', 'do up', 'pull out', 'get in', 'take to', 'collect', 'move', 'remove', 'move across', 'get out', 'do in', 'move after', 'move around', 'move in', 'take up', 'pick up', 'move from', 'pull across', 'grab out', 'get up', 'grab up', 'take out', 'remove out', 'remove from', 'move by', 'take off', 'pick from', 'pull', 'load', 'retrieve in', 'remove off', 'pull against', 'pull open', 'pull off', 'take over', 'pull up', 'move over', 'move out', 'move towards', 'e', 'get to', 'pull from', 'pick out', 'get rid of', 'move down', 'pull with', 'catch on', 'pull on', 'draw out', 'pull over', 'get down', 'move to', 'shoot', 'relieve', 'pickup', 'capture', 'grasp at', 'grasp on', 'follow', 'knock out', 'give up', 'knock over', 'grip by']",retrieve
1,put,"['create', 'dose', 'lay', 'lay-down', 'lay-on', 'lay-onto', 'lay-out', 'layer', 'leave', 'leave-in', 'leave-with', 'lie', 'pace', 'place', 'place-away', 'place-back', 'place-down', 'place-on', 'place-onto', 'place-that', 'pose', 'position', 'pout', 'put', 'put-around', 'put-aside', 'put-away', 'put-back', 'put-down', 'put-from', 'put-of', 'put-on', 'put-onto', 'put-over', 'put-to', 'put-under', 'put-up', 'put-with', 'replace', 'reposition', 'rest', 'rest-against', 'rest-on', 'rest-onto', 'reture', 'return', 'return-from', 'return-into', 'set-down', 'tuck-under', 'pet-down', 'save', 'store', 'tip', 'put-unto', 'mushroom-onto', 'put-for', 'place-over', 'place-up', 'place-under', 'get-into', 'combine-from', 'put-outside', 'store-in', 'put-between', 'pick-into', 'layer-on', 'place-with', 'lean against', 'turn over', 'sit on', 'turn to', 'rest on', 'put onto', 'put under', 'sit', 'turn around', 'be for', 'be on', 'put in', 'be at', 'turn', 'eat with', 'place down', 'turn off', 'round up', 'put up', 'turn on', 'set up', 'place at', 'be inside', 'place on', 'lay out', 'turn down', 'return to', 'position in', 'gain', 'be towards', 'tuck', 'turn with', 'turn about', 'put into', 'be', 'eat', 'store in', 'put down', 'place inside', 'tip over', 'eat off', 'set down', 'rest against', 'tuck in', 'create up', 'be within', 'turn out', 'lay down', 'put back', 'tip away', 'bin', 'place in', 'place underneath', 'place into', 'be in', 'position under', 'tip out', 'place onto', 'place back', 'set in', 'store away', 'turn open', 'be onto', 'place up', 'place over', 'be under', 'turn in', 'put away', 'put on', 'turn towards', 'return after', 'turn up', 'set', 'combine', 'point to', 'extend', 'point at', 'restack', 'provide', 'base', 'slot in', 'point off', 'point with', 'access behind', 'establish', 'steady on', 'seat', 'keep throughout', 'point', 'correct', 'repeat for', 'direct', 'spot', 'scroll on', 'center', 'tend to', 'keep in', 'keepcup', 'agitate', 'include underneath', 'type with', 'steady', 'focus on', 'got']",leave
2,wash,"['clean', 'clean-around', 'clean-from', 'clean-off', 'clean-up', 'clean-with', 'hoover', 'hoover under', 'vacuum', 'vacuum with', 'lather', 'mop-up', 'rinse', 'rinse-from', 'rinse-in', 'rinse-off', 'rinse-out', 'rinse-under', 'rise', 'soap', 'soap-up', 'sponge', 'wash', 'wash-around', 'wash-by', 'wash-off', 'wash-out', 'wash-under', 'wash-up', 'wash-with', 'wipe', 'wipe-around', 'wipe-by', 'wipe-down', 'wipe-from', 'wipe-in', 'wipe-into', 'wipe-of', 'wipe-off', 'wipe-on', 'wipe-onto', 'wipe-over', 'wipe-up', 'wipe-with', 'cool', 'wash-in', 'wash-on', 'rinse-into', 'rinse-on', 'wash down', 'wipe around', 'wipe over', 'wipe out', 'clean up', 'vacuum with', 'wipe under', 'clean from', 'wash inside', 'clean under', 'clean behind', 'lean', 'clean out', 'lather up', 'wipe from', 'clean with', 'clean down', 'wipe on', 'rinse around', 'wash in', 'mop up', 'wipe down', 'rinse out', 'clean off', 'wipe in', 'wash with', 'wipe up', 'clean between', 'wipe underneath', 'lean over', 'wash up', 'rinse up', 'wipe dry', 'cool down', 'clean at', 'clean in', 'rinse back', 'rinse off', 'clean underneath', 'rinse under', 'wash off', 'wipe away', 'clean inside', 'wipe with', 'rinse with', 'clean beneath', 'wipe off', 'clean round', 'clean around', 'hoover with', 'rinse in', 'sponge up', 'mess', 'dust', 'sanitize', 'dust off', 'maintain', 'dust with', 'dust down', 'sterilise', 'cleanse', 'dust out']",clean
3,open,"['lever-open', 'open', 'open-in', 'open-on', 'open-up', 'open-with', 'uncork', 'unzip', 'open-to', 'open in', 'open out', 'zip', 'open with', 'open up', 'pen in', 'open down', 'access', 'reopen', 'pry open']",access
4,close,"['close', 'close-off', 'close-with', 'screw-on', 'screw-onto', 'shut', 'twist-on', 'close-in', 'close-on', 'twist with', 'clos', 'twist around', 'screw back', 'screw in', 'twist on', 'close by', 'close off', 'lose', 'screw on', 'close up', 'twist', 'screw', 'close with', 'screw open', 'twist open', 'twist off', 'close back', 'twist to', 'screw off', 'close on', 'close down', 'hide between']",block
5,insert,"['drop-into', 'fit', 'fit-inside', 'insert', 'insert-into', 'move-in', 'place-in', 'place-into', 'pop-into', 'push-in', 'push-into', 'put-in', 'put-inside', 'put-into', 'slide-into', 'slide-onto', 'load', 'pack', 'place-inside', 'sheath', 'sheathe', 'insert-in', 'support', 'pack up', 'slide after', 'slide inside', 'push back', 'drop down', 'push out', 'drop', 'heat up', 'slide off', 'push off', 'slide on', 'fit in', 'push to', 'push with', 'push', 'slide with', 'push up', 'drop from', 'push in', 'slide over', 'drop off', 'slide to', 'push on', 'drop into', 'slide open', 'push into', 'push down', 'push open', 'heat', 'slide', 'slide in', 'slide down', 'fit on', 'push away', 'push over', 'slide underneath', 'slide across', 'slide under', 'drop on', 'perform', 'surround', 'shoot into', 'hover with', 'struggle in', 'achieve', 'help in', 'dig into', 'hover over', 'manoeuvre', 'crawl on', 'slip through', 'click with', 'pluck in', 'block']",leave
6,turn-on,"['activate', 'begin', 'ignite', 'light', 'play', 'restart', 'start', 'switch-on', 'turn-on', 'water-on', 'tun-on', 'act as', 'start on', 'switch on', 'switch between', 'tar', 'start with', 'start from', 'water', 'start', 'switch up', 'begin with', 'start to', 'switch with', 'switch to', 'switch off', 'switch', 'click on', 'wake up', 'type on', 'keep on', 'attempt for', 'wake', 'operate', 'try', 'type in']",access
7,cut,"['chop', 'chop-in', 'chop-off', 'chop-up', 'chop-with', 'cut', 'cut-in', 'cut-into', 'cut-off', 'cut-on', 'cut-out', 'cut-with', 'dice', 'half', 'halve', 'julienne', 'score', 'slice', 'slice-along', 'slice-at', 'slice-in', 'slice-into', 'slice-of', 'slice-off', 'slice-onto', 'slice-out', 'slice-through', 'slice-up', 'slice-with', 'snip', 'trim', 'make', 'stick', 'start-to', 'top', 'slice-to', 'chop-into', 'cut-from', 'slice-from', 'cut-by', 'make-into', 'trim-into', 'dice', 'damage', 'chop out', 'cut out', 'slice off', 'slice with', 'cut at', 'chop with', 'cut through', 'stick in', 'slice across', 'cut up', 'cut down', 'slice to', 'cut across', 'slice down', 'chop up', 'cut open', 'stick onto', 'stick to', 'cut from', 'slice through', 'cut on', 'slice out', 'trim off', 'slice into', 'cut into', 'cut in', 'slice at', 'top up', 'cut with', 'slice towards', 'slice open', 'slice from', 'cut off', 'chop off', 'slice in', 'chop away', 'chop in', 'sew', 'knife on', 'chopping', 'slash']",split
8,turn-off,"['shut-off', 'switch-of', 'switch-off', 'switch-out', 'tap-off', 'turn-of', 'turn-off', 'water-off', 'flush', 'tap down', 'tap on', 'tap', 'tap against', 'tap off', 'tap with', 'interfere during', 'glove off']",block
9,pour,"['drizzle', 'drizzle-into', 'drizzle-on', 'pour', 'pour-down', 'pour-from', 'pour-in', 'pour-into', 'pour-on', 'pour-onto', 'pour-out', 'pour-over', 'shake-into', 'sieve', 'tip-from', 'tip-in', 'tip-into', 'pour-inside', 'sieve-with', 'pour over', 'pour onto', 'pour into', 'shake over', 'shake', 'pour away', 'shake down', 'pour in', 'shake above', 'shake around', 'pour out', 'pour from', 'shake in', 'shake off', 'shake with', 'shake out', 'pour between', 'shake up', 'pour to', 'jug into', 'melt', 'melt into', 'froth', 'drip onto', 'cup', 'bowl with', 'drip', 'melt within', 'brew']",merge
10,mix,"['beat', 'blend', 'fold-in', 'mix', 'mix-around', 'mix-in', 'mix-so', 'mix-together', 'mix-with', 'scramble', 'stir', 'stir-in', 'stir-into', 'stir-with', 'whisk', 'whisk-in', 'mix-into', 'stir-on', 'beat', 'whip', 'swirl', 'ram', 'stir on', 'stir through', 'mix together', 'mix around', 'fold down', 'fold out', 'beat into', 'stir in', 'fold', 'end', 'fold by', 'mix with', 'mix through', 'stir with', 'end up', 'fold up', 'stir for', 'fold in', 'mix until', 'mix in', 'fold over', 'mix up', 'interchange', 'shuffle through', 'rackuse', 'fiddle with', 'contain', 'settle', 'counter with', 'sift through', 'shuffle']",merge
11,move,"['back', 'drag-around', 'move', 'move-along', 'move-around', 'move-from', 'move-into', 'move-off', 'move-on', 'move-onto', 'move-through', 'move-to', 'move-with', 'move-within', 'pass-to', 'return-to', 'transfer', 'transfer-from', 'transfer-into', 'transfer-to', 'flick', 'flick-up', 'swap', 'distribute-in', 'make-in', 'change-for', 'duck', 'face', 'pass through', 'hang on', 'transfer onto', 'hang from', 'flick to', 'change down', 'transfer by', 'lick off', 'lick', 'pass', 'flick off', 'drag with', 'change', 'distribute', 'transfer off', 'flick up', 'drag', 'hang up', 'change to', 'hang', 'transfer to', 'transfer from', 'hang over', 'transfer into', 'pass to', 'alternate between', 'retract', 'reorientate', 'deal with', 'offload', 'cross to', 'exchange']",transition
12,remove,"['dispense', 'extract', 'get-out', 'pick-out', 'pop-out', 'remove', 'remove-from', 'remove-inside', 'remove-into', 'remove-out', 'remove-with', 'take-off', 'take-out', 'unclip', 'unsheathe', 'clear', 'unplug', 'desee', 'remove-off', 'extract-from', 'fish-out', 'deseed', 'deseede', 'dislodge', 'unclog', 'plug', 'plug on', 'clear away', 'plug in', 'extract with', 'see as', 'clip', 'clear out', 'plug down', 'fish out', 'clear up', 'see', 'swill out', 'enclose', 'delete', 'reduce', 'decant', 'impede', 'absorb', 'alternate', 'swill', 'redirect', 'come out', 'silence', 'jar out', 'knock off', 'pluck off', 'decant out', 'retreive', 'eliminate', 'usnig', 'wre out', 'come off', 'ignore', 'even out']",retrieve
13,throw,"['bin', 'chuck-into', 'discard', 'dispose-of', 'recycle', 'rubbish-in', 'throw', 'throw-away', 'throw-down', 'throw-for', 'throw-from', 'throw-in', 'throw-inside', 'throw-into', 'throw-off', 'throw-on', 'throw-onto', 'throw-out', 'throw-over', 'toss', 'trash', 'trow', 'swipe-into', 'throw-to', 'remain-in', 'remain in', 'swipe on', 'remain on', 'dispose', 'rub away', 'rub across', 'swipe up', 'dispose of', 'swipe onto', 'rub', 'rub off', 'throw open', 'throw out', 'discard in', 'rub around', 'remain inside', 'throw to', 'throw off', 'remain of', 'chuck', 'waste']",leave
14,dry,"['dry', 'dry-off', 'dry-on', 'dry-with', 'towel', 'dry-in', 'dry under', 'dry on', 'dry out', 'dry onto', 'dry up', 'towel out', 'dry off']",clean
15,shake,"['jiggle', 'shake', 'shake-from', 'shake-in', 'shake-off', 'shake-on', 'shake-onto', 'shake-out', 'shake-over', 'shake-with', 'waft', 'swirl', 'swirl-in', 'swill around', 'swirl around', 'swirl in', 'cap']",manipulate
16,scoop,"['ladle', 'scoop', 'scoop-at', 'scoop-from', 'scoop-in', 'scoop-into', 'scoop-out', 'scoop-up', 'scoop-with', 'shovel', 'shovel-up', 'skim-off', 'spoon', 'spoon-in', 'spoon-into', 'spoon-onto', 'spoon-out', 'spoon over', 'spoon out', 'scoop out', 'spoon up', 'spoon with', 'scoop up', 'scoop off', 'scoop under', 'scoop with', 'scoop from', 'spoon on', 'nudge with', 'nudge']",retrieve
17,adjust,"['adjust', 'adjust-in', 'adjust-on', 'calibrate', 'change', 'regulate', 'adjust to', 'adjust by', 'recalibrate', 'readjust', 'control']",monitor
18,squeeze,"['crumple', 'crumple-up', 'juice', 'scrunch-up', 'squash', 'squeeze', 'squeeze-around', 'squeeze-from', 'squeeze-in', 'squeeze-into', 'squeeze-onto', 'squeeze-out', 'squeeze-over', 'squeeze-with', 'squidge', 'squidge-into', 'squidge-with', 'squish', 'squish-into', 'wring', 'wring-out', 'let-out', 'wring', 'juice', 'run', 'squeeze above', 'squeeze in', 'let with', 'ring', 'squeeze up', 'run into', 'let go of', 'run in', 'scrunch', 'crumple up', 'run under', 'squeeze out', 'squeeze with', 'scrunch up', 'squeeze off', 'grasp', 'compact', 'slow', 'fluff up', 'shush', 'sneeze into', 'cough into', 'slam', 'struggle at', 'zoom', 'fluff', 'pinch', 'enlarge', 'ramp', 'wiggle', 'crimp down', 'swinge', 'crouch', 'reweighe', 'bulk out', 'pluck', 'pinch with', 'crimp']",manipulate
19,peel,"['peel', 'peel-back', 'peel-from', 'peel-off', 'peel-with', 'skin', 'skin-from', 'defoliate', 'peel open', 'peel down', 'peel off', 'peel at', 'peel out', 'peel away', 'peel with', 'peel up', 'peel into', 'peel back']",split
20,empty,"['empty', 'empty-from', 'empty-into', 'empty-out', 'tip-out', 'tip-to', 'empty out', 'empty into']",split
21,press,"['collapse', 'compress', 'press', 'press-down', 'press-into', 'press-on', 'press-onto', 'push', 'push-down', 'push-off', 'push-onto', 'push-out', 'push-up', 'press-in', 'push-on', 'compress-in', 'compress-on', 'reset', 'zero', 'zero out', 'tare', 'squash', 'press along', 'press in', 'press out', 'press against', 'press with', 'press on', 'press by', 'press at', 'press down', 'press around', 'press into', 'speak', 'click', 'pulse on', 'brace against']",manipulate
